excerpt,author,book
"THE CAPTAIN KNUCKLES UNDER Alan and I sat down to breakfast about six of the clock. The floor was
covered with broken glass and in a horrid mess of blood, which took away
my hunger. In all other ways we were in a situation not only agreeable
but merry; having ousted the officers from their own cabin, and having
at command all the drink in the ship--both wine and spirits--and all the
dainty part of what was eatable, such as the pickles and the fine sort
of bread. This, of itself, was enough to set us in good humour, but the
richest part of it was this, that the two thirstiest men that ever came
out of Scotland (Mr. Shuan being dead) were now shut in the fore-part of
the ship and condemned to what they hated most--cold water. “And depend upon it,” Alan said, “we shall hear more of them ere long.
Ye may keep a man from the fighting, but never from his bottle.” We made good company for each other. Alan, indeed, expressed himself
most lovingly; and taking a knife from the table, cut me off one of the
silver buttons from his coat.",Edith Wharton,wharton_age_of_innocence
"And the woman, whose voice had risen to a kind of eldritch sing-song,
turned with a skip, and was gone. I stood where she left me, with my
hair on end. In those days folk still believed in witches and trembled
at a curse; and this one, falling so pat, like a wayside omen, to arrest
me ere I carried out my purpose, took the pith out of my legs. I sat me down and stared at the house of Shaws. The more I looked,
the pleasanter that country-side appeared; being all set with hawthorn
bushes full of flowers; the fields dotted with sheep; a fine flight of
rooks in the sky; and every sign of a kind soil and climate; and yet the
barrack in the midst of it went sore against my fancy. Country folk went by from the fields as I sat there on the side of the
ditch, but I lacked the spirit to give them a good-e’en. At last the sun
went down, and then, right up against the yellow sky, I saw a scroll of
smoke go mounting, not much thicker, as it seemed to me, than the smoke
of a candle; but still there it was, and meant a fire, and warmth, and
cookery, and some living inhabitant that must have lit it; and this
comforted my heart.",Edith Wharton,wharton_age_of_innocence
"So the pair sat down and hob-a-nobbed; and while they did so, the
murderer, who had been lying and whimpering in his berth, raised himself
upon his elbow and looked at them and at me. That was the first night of my new duties; and in the course of the next
day I had got well into the run of them. I had to serve at the meals,
which the captain took at regular hours, sitting down with the officer
who was off duty; all the day through I would be running with a dram
to one or other of my three masters; and at night I slept on a blanket
thrown on the deck boards at the aftermost end of the round-house, and
right in the draught of the two doors. It was a hard and a cold bed;
nor was I suffered to sleep without interruption; for some one would be
always coming in from deck to get a dram, and when a fresh watch was
to be set, two and sometimes all three would sit down and brew a bowl
together. How they kept their health, I know not, any more than how I
kept my own.",Edith Wharton,wharton_age_of_innocence
"And yet in other ways it was an easy service. There was no cloth to lay;
the meals were either of oatmeal porridge or salt junk, except twice a
week, when there was duff: and though I was clumsy enough and (not being
firm on my sealegs) sometimes fell with what I was bringing them, both
Mr. Riach and the captain were singularly patient. I could not but fancy
they were making up lee-way with their consciences, and that they
would scarce have been so good with me if they had not been worse with
Ransome. As for Mr. Shuan, the drink or his crime, or the two together, had
certainly troubled his mind. I cannot say I ever saw him in his proper
wits. He never grew used to my being there, stared at me continually
(sometimes, I could have thought, with terror), and more than once drew
back from my hand when I was serving him. I was pretty sure from the
first that he had no clear mind of what he had done, and on my second
day in the round-house I had the proof of it. We were alone, and he had
been staring at me a long time, when all at once, up he got, as pale as
death, and came close up to me, to my great terror. But I had no cause
to be afraid of him.",Edith Wharton,wharton_age_of_innocence
"Alan clapped my shoulder, and said I was a brave lad and wanted nothing
but a sleep. “I’ll take the first watch,” said he. “Ye’ve done well by me, David,
first and last; and I wouldn’t lose you for all Appin--no, nor for
Breadalbane.” So I made up my bed on the floor; and he took the first spell, pistol
in hand and sword on knee, three hours by the captain’s watch upon the
wall. Then he roused me up, and I took my turn of three hours; before
the end of which it was broad day, and a very quiet morning, with a
smooth, rolling sea that tossed the ship and made the blood run to and
fro on the round-house floor, and a heavy rain that drummed upon the
roof. All my watch there was nothing stirring; and by the banging of the
helm, I knew they had even no one at the tiller. Indeed (as I learned
afterwards) there were so many of them hurt or dead, and the rest in so
ill a temper, that Mr. Riach and the captain had to take turn and turn
like Alan and me, or the brig might have gone ashore and nobody the
wiser. It was a mercy the night had fallen so still, for the wind had
gone down as soon as the rain began. Even as it was, I judged by the
wailing of a great number of gulls that went crying and fishing round
the ship, that she must have drifted pretty near the coast or one of
the islands of the Hebrides; and at last, looking out of the door of the
round-house, I saw the great stone hills of Skye on the right hand, and,
a little more astern, the strange isle of Rum.",Edith Wharton,wharton_age_of_innocence
"I said I could not look at it: and thereupon he gave me some brandy and
water in a tin pannikin, and left me once more to myself. The next time he came to see me, I was lying betwixt sleep and waking,
my eyes wide open in the darkness, the sickness quite departed, but
succeeded by a horrid giddiness and swimming that was almost worse
to bear. I ached, besides, in every limb, and the cords that bound me
seemed to be of fire. The smell of the hole in which I lay seemed to
have become a part of me; and during the long interval since his last
visit I had suffered tortures of fear, now from the scurrying of the
ship’s rats, that sometimes pattered on my very face, and now from the
dismal imaginings that haunt the bed of fever. The glimmer of the lantern, as a trap opened, shone in like the heaven’s
sunlight; and though it only showed me the strong, dark beams of the
ship that was my prison, I could have cried aloud for gladness. The man
with the green eyes was the first to descend the ladder, and I noticed
that he came somewhat unsteadily. He was followed by the captain.
Neither said a word; but the first set to and examined me, and dressed
my wound as before, while Hoseason looked me in my face with an odd,
black look.",Edith Wharton,wharton_age_of_innocence
"The cabin-boy Ransome (from whom I had first heard of these atrocities)
came in at times from the round-house, where he berthed and served, now
nursing a bruised limb in silent agony, now raving against the cruelty
of Mr. Shuan. It made my heart bleed; but the men had a great respect
for the chief mate, who was, as they said, “the only seaman of the whole
jing-bang, and none such a bad man when he was sober.” Indeed, I found
there was a strange peculiarity about our two mates: that Mr. Riach was
sullen, unkind, and harsh when he was sober, and Mr. Shuan would not
hurt a fly except when he was drinking. I asked about the captain; but I
was told drink made no difference upon that man of iron. I did my best in the small time allowed me to make some thing like a
man, or rather I should say something like a boy, of the poor creature,
Ransome. But his mind was scarce truly human. He could remember nothing
of the time before he came to sea; only that his father had made clocks,
and had a starling in the parlour, which could whistle “The North
Countrie;” all else had been blotted out in these years of hardship
and cruelties. He had a strange notion of the dry land, picked up from
sailor’s stories: that it was a place where lads were put to some kind
of slavery called a trade, and where apprentices were continually lashed
and clapped into foul prisons. In a town, he thought every second person
a decoy, and every third house a place in which seamen would be drugged
and murdered. To be sure, I would tell him how kindly I had myself been
used upon that dry land he was so much afraid of, and how well fed and
carefully taught both by my friends and my parents: and if he had been
recently hurt, he would weep bitterly and swear to run away; but if
he was in his usual crackbrain humour, or (still more) if he had had a
glass of spirits in the roundhouse, he would deride the notion.",Edith Wharton,wharton_age_of_innocence
"Presently, I found I was holding to a spar, which helped me somewhat.
And then all of a sudden I was in quiet water, and began to come to
myself. It was the spare yard I had got hold of, and I was amazed to see how far
I had travelled from the brig. I hailed her, indeed; but it was plain
she was already out of cry. She was still holding together; but whether
or not they had yet launched the boat, I was too far off and too low
down to see. While I was hailing the brig, I spied a tract of water lying between
us where no great waves came, but which yet boiled white all over and
bristled in the moon with rings and bubbles. Sometimes the whole tract
swung to one side, like the tail of a live serpent; sometimes, for a
glimpse, it would all disappear and then boil up again. What it was I
had no guess, which for the time increased my fear of it; but I now know
it must have been the roost or tide race, which had carried me away so
fast and tumbled me about so cruelly, and at last, as if tired of that
play, had flung out me and the spare yard upon its landward margin.",Edith Wharton,wharton_age_of_innocence
"And here I must explain; and the reader would do well to look at a map.
On the day when the fog fell and we ran down Alan’s boat, we had been
running through the Little Minch. At dawn after the battle, we lay
becalmed to the east of the Isle of Canna or between that and Isle
Eriska in the chain of the Long Island. Now to get from there to the
Linnhe Loch, the straight course was through the narrows of the Sound of
Mull. But the captain had no chart; he was afraid to trust his brig so
deep among the islands; and the wind serving well, he preferred to go by
west of Tiree and come up under the southern coast of the great Isle of
Mull. All day the breeze held in the same point, and rather freshened than
died down; and towards afternoon, a swell began to set in from round the
outer Hebrides. Our course, to go round about the inner isles, was to
the west of south, so that at first we had this swell upon our beam, and
were much rolled about. But after nightfall, when we had turned the end
of Tiree and began to head more to the east, the sea came right astern.",Edith Wharton,wharton_age_of_innocence
"Just then we came to the top of the hill, and looked down on the Ferry
and the Hope. The Firth of Forth (as is very well known) narrows at this
point to the width of a good-sized river, which makes a convenient ferry
going north, and turns the upper reach into a landlocked haven for all
manner of ships. Right in the midst of the narrows lies an islet with
some ruins; on the south shore they have built a pier for the service
of the Ferry; and at the end of the pier, on the other side of the road,
and backed against a pretty garden of holly-trees and hawthorns, I could
see the building which they called the Hawes Inn. The town of Queensferry lies farther west, and the neighbourhood of the
inn looked pretty lonely at that time of day, for the boat had just
gone north with passengers. A skiff, however, lay beside the pier, with
some seamen sleeping on the thwarts; this, as Ransome told me, was the
brig’s boat waiting for the captain; and about half a mile off, and all
alone in the anchorage, he showed me the _Covenant_ herself. There was
a sea-going bustle on board; yards were swinging into place; and as the
wind blew from that quarter, I could hear the song of the sailors as
they pulled upon the ropes. After all I had listened to upon the way, I
looked at that ship with an extreme abhorrence; and from the bottom of
my heart I pitied all poor souls that were condemned to sail in her.",Edith Wharton,wharton_age_of_innocence
"He had begun to seek for his breath with deep sighs. “The blue phial,”
 said he--“in the aumry--the blue phial.” His breath came slower still. I ran to the cupboard, and, sure enough, found there a blue phial
of medicine, with the dose written on it on a paper, and this I
administered to him with what speed I might. “It’s the trouble,” said he, reviving a little; “I have a trouble,
Davie. It’s the heart.” I set him on a chair and looked at him. It is true I felt some pity for
a man that looked so sick, but I was full besides of righteous anger;
and I numbered over before him the points on which I wanted explanation:
why he lied to me at every word; why he feared that I should leave him;
why he disliked it to be hinted that he and my father were twins--“Is
that because it is true?” I asked; why he had given me money to which I
was convinced I had no claim; and, last of all, why he had tried to kill
me. He heard me all through in silence; and then, in a broken voice,
begged me to let him go to bed.",Edith Wharton,wharton_age_of_innocence
"“Na, na; na, na,” he said, very earnestly. “I like you fine; we’ll agree
fine yet; and for the honour of the house I couldnae let you leave the
way ye came. Bide here quiet, there’s a good lad; just you bide here
quiet a bittie, and ye’ll find that we agree.” “Well, sir,” said I, after I had thought the matter out in silence,
“I’ll stay awhile. It’s more just I should be helped by my own blood
than strangers; and if we don’t agree, I’ll do my best it shall be
through no fault of mine.” I RUN A GREAT DANGER IN THE HOUSE OF SHAWS For a day that was begun so ill, the day passed fairly well. We had the
porridge cold again at noon, and hot porridge at night; porridge and
small beer was my uncle’s diet. He spoke but little, and that in the
same way as before, shooting a question at me after a long silence; and
when I sought to lead him to talk about my future, slipped out of it
again. In a room next door to the kitchen, where he suffered me to go,
I found a great number of books, both Latin and English, in which I took
great pleasure all the afternoon. Indeed, the time passed so lightly in
this good company, that I began to be almost reconciled to my residence
at Shaws; and nothing but the sight of my uncle, and his eyes playing
hide and seek with mine, revived the force of my distrust.",Edith Wharton,wharton_age_of_innocence
"Presently, all swollen with conceit, I went up-stairs and gave my
prisoner his liberty. He gave me good-morning civilly; and I gave the
same to him, smiling down upon him, from the heights of my sufficiency.
Soon we were set to breakfast, as it might have been the day before. “Well, sir,” said I, with a jeering tone, “have you nothing more to say
to me?” And then, as he made no articulate reply, “It will be time,
I think, to understand each other,” I continued. “You took me for
a country Johnnie Raw, with no more mother-wit or courage than a
porridge-stick. I took you for a good man, or no worse than others at
the least. It seems we were both wrong. What cause you have to fear me,
to cheat me, and to attempt my life--” He murmured something about a jest, and that he liked a bit of fun; and
then, seeing me smile, changed his tone, and assured me he would make
all clear as soon as we had breakfasted. I saw by his face that he had
no lie ready for me, though he was hard at work preparing one; and I
think I was about to tell him so, when we were interrupted by a knocking
at the door.",Edith Wharton,wharton_age_of_innocence
"Instead of the sun rising to dry me, it came on to rain, with a thick
mist; so that my case was lamentable. I stood in the rain, and shivered, and wondered what to do, till it
occurred to me that perhaps the creek was fordable. Back I went to the
narrowest point and waded in. But not three yards from shore, I plumped
in head over ears; and if ever I was heard of more, it was rather by
God’s grace than my own prudence. I was no wetter (for that could hardly
be), but I was all the colder for this mishap; and having lost another
hope was the more unhappy. And now, all at once, the yard came in my head. What had carried me
through the roost would surely serve me to cross this little quiet creek
in safety. With that I set off, undaunted, across the top of the isle,
to fetch and carry it back. It was a weary tramp in all ways, and if
hope had not buoyed me up, I must have cast myself down and given up.
Whether with the sea salt, or because I was growing fevered, I was
distressed with thirst, and had to stop, as I went, and drink the peaty
water out of the hags.",Edith Wharton,wharton_age_of_innocence
"“I thought they called your chief Appin,” said I. “Ay, but Ardshiel is the captain of the clan,” said he, which scarcely
cleared my mind. “Ye see, David, he that was all his life so great a
man, and come of the blood and bearing the name of kings, is now brought
down to live in a French town like a poor and private person. He that
had four hundred swords at his whistle, I have seen, with these eyes
of mine, buying butter in the market-place, and taking it home in a
kale-leaf. This is not only a pain but a disgrace to us of his family
and clan. There are the bairns forby, the children and the hope of
Appin, that must be learned their letters and how to hold a sword, in
that far country. Now, the tenants of Appin have to pay a rent to King
George; but their hearts are staunch, they are true to their chief; and
what with love and a bit of pressure, and maybe a threat or two, the
poor folk scrape up a second rent for Ardshiel. Well, David, I’m the
hand that carries it.” And he struck the belt about his body, so that
the guineas rang.",Edith Wharton,wharton_age_of_innocence
"It was Mr. Riach (Heaven forgive him!) who gave the boy drink; and
it was, doubtless, kindly meant; but besides that it was ruin to his
health, it was the pitifullest thing in life to see this unhappy,
unfriended creature staggering, and dancing, and talking he knew not
what. Some of the men laughed, but not all; others would grow as black
as thunder (thinking, perhaps, of their own childhood or their own
children) and bid him stop that nonsense, and think what he was doing.
As for me, I felt ashamed to look at him, and the poor child still comes
about me in my dreams. All this time, you should know, the _Covenant_ was meeting continual
head-winds and tumbling up and down against head-seas, so that the
scuttle was almost constantly shut, and the forecastle lighted only by a
swinging lantern on a beam. There was constant labour for all hands; the
sails had to be made and shortened every hour; the strain told on the
men’s temper; there was a growl of quarrelling all day long from berth
to berth; and as I was never allowed to set my foot on deck, you
can picture to yourselves how weary of my life I grew to be, and how
impatient for a change.",Edith Wharton,wharton_age_of_innocence
"“Ay” said he, “it’s well seen it was a Campbell taught ye! It would be
a convenient world for them and their sort, if there was no such a thing
as a lad and a gun behind a heather bush! But that’s nothing to the
point. This is what he did.” “Ay” said I, “come to that.” “Well, David,” said he, “since he couldnae be rid of the loyal commons
by fair means, he swore he would be rid of them by foul. Ardshiel was to
starve: that was the thing he aimed at. And since them that fed him in
his exile wouldnae be bought out--right or wrong, he would drive them
out. Therefore he sent for lawyers, and papers, and red-coats to stand
at his back. And the kindly folk of that country must all pack and
tramp, every father’s son out of his father’s house, and out of the
place where he was bred and fed, and played when he was a callant. And
who are to succeed them? Bare-leggit beggars! King George is to whistle
for his rents; he maun dow with less; he can spread his butter thinner:
what cares Red Colin? If he can hurt Ardshiel, he has his wish; if he
can pluck the meat from my chieftain’s table, and the bit toys out of
his children’s hands, he will gang hame singing to Glenure!”",Edith Wharton,wharton_age_of_innocence
"“They’re grand,” said he; and then, as I was going, “Keep to the wall,”
 he added; “there’s nae bannisters. But the stairs are grand underfoot.” Out I went into the night. The wind was still moaning in the distance,
though never a breath of it came near the house of Shaws. It had fallen
blacker than ever; and I was glad to feel along the wall, till I came
the length of the stairtower door at the far end of the unfinished wing.
I had got the key into the keyhole and had just turned it, when all upon
a sudden, without sound of wind or thunder, the whole sky lighted up
with wild fire and went black again. I had to put my hand over my eyes
to get back to the colour of the darkness; and indeed I was already half
blinded when I stepped into the tower. It was so dark inside, it seemed a body could scarce breathe; but I
pushed out with foot and hand, and presently struck the wall with the
one, and the lowermost round of the stair with the other. The wall, by
the touch, was of fine hewn stone; the steps too, though somewhat steep
and narrow, were of polished masonwork, and regular and solid underfoot.
Minding my uncle’s word about the bannisters, I kept close to the tower
side, and felt my way in the pitch darkness with a beating heart.",Edith Wharton,wharton_age_of_innocence
"As we got nearer to the turn of the land the reefs began to be sown here
and there on our very path; and Mr. Riach sometimes cried down to us to
change the course. Sometimes, indeed, none too soon; for one reef was
so close on the brig’s weather board that when a sea burst upon it the
lighter sprays fell upon her deck and wetted us like rain. The brightness of the night showed us these perils as clearly as by day,
which was, perhaps, the more alarming. It showed me, too, the face of
the captain as he stood by the steersman, now on one foot, now on the
other, and sometimes blowing in his hands, but still listening and
looking and as steady as steel. Neither he nor Mr. Riach had shown
well in the fighting; but I saw they were brave in their own trade, and
admired them all the more because I found Alan very white. “Ochone, David,” says he, “this is no the kind of death I fancy!” “What, Alan!” I cried, “you’re not afraid?”",Edith Wharton,wharton_age_of_innocence
"“Sir,--I lie here with my hawser up and down, and send my cabin-boy to
informe. If you have any further commands for over-seas, to-day will be
the last occasion, as the wind will serve us well out of the firth.
I will not seek to deny that I have had crosses with your doer, Mr.
Rankeillor; of which, if not speedily redd up, you may looke to see some
losses follow. I have drawn a bill upon you, as per margin, and am, sir,
     your most obedt., humble servant, “You see, Davie,” resumed my uncle, as soon as he saw that I had done,
“I have a venture with this man Hoseason, the captain of a trading brig,
the _Covenant_, of Dysart. Now, if you and me was to walk over with
yon lad, I could see the captain at the Hawes, or maybe on board the
_Covenant_ if there was papers to be signed; and so far from a loss of
time, we can jog on to the lawyer, Mr. Rankeillor’s. After a’ that’s
come and gone, ye would be swier to believe me upon my naked word; but
ye’ll believe Rankeillor. He’s factor to half the gentry in these parts;
an auld man, forby: highly respeckit, and he kenned your father.”",Edith Wharton,wharton_age_of_innocence
"The next person I came across was a dapper little man in a beautiful
white wig, whom I saw to be a barber on his rounds; and knowing well
that barbers were great gossips, I asked him plainly what sort of a man
was Mr. Balfour of the Shaws. “Hoot, hoot, hoot,” said the barber, “nae kind of a man, nae kind of a
man at all;” and began to ask me very shrewdly what my business was;
but I was more than a match for him at that, and he went on to his next
customer no wiser than he came. I cannot well describe the blow this dealt to my illusions. The more
indistinct the accusations were, the less I liked them, for they left
the wider field to fancy. What kind of a great house was this, that all
the parish should start and stare to be asked the way to it? or what
sort of a gentleman, that his ill-fame should be thus current on the
wayside? If an hour’s walking would have brought me back to Essendean, I
had left my adventure then and there, and returned to Mr. Campbell’s.
But when I had come so far a way already, mere shame would not suffer me
to desist till I had put the matter to the touch of proof; I was bound,
out of mere self-respect, to carry it through; and little as I liked
the sound of what I heard, and slow as I began to travel, I still kept
asking my way and still kept advancing.",Edith Wharton,wharton_age_of_innocence
"There was one man, of maybe forty, that would sit on my berthside for
hours and tell me of his wife and child. He was a fisher that had lost
his boat, and thus been driven to the deep-sea voyaging. Well, it is
years ago now: but I have never forgotten him. His wife (who was “young
by him,” as he often told me) waited in vain to see her man return; he
would never again make the fire for her in the morning, nor yet keep
the bairn when she was sick. Indeed, many of these poor fellows (as the
event proved) were upon their last cruise; the deep seas and cannibal
fish received them; and it is a thankless business to speak ill of the
dead. Among other good deeds that they did, they returned my money, which had
been shared among them; and though it was about a third short, I was
very glad to get it, and hoped great good from it in the land I was
going to. The ship was bound for the Carolinas; and you must not suppose
that I was going to that place merely as an exile. The trade was even
then much depressed; since that, and with the rebellion of the colonies
and the formation of the United States, it has, of course, come to
an end; but in those days of my youth, white men were still sold into
slavery on the plantations, and that was the destiny to which my wicked
uncle had condemned me.",Edith Wharton,wharton_age_of_innocence
