excerpt,author,book,bucket
"“Kiss me, Mrs. Crimsworth,” was my not very apposite reply; but she looked so engaging in her light summer dress and little cottage bonnet, and her manner in speaking to me was then, as always, so unaffectedly and suavely respectful, that my heart expanded at the sight of her, and a kiss seemed necessary to content its importunity.",Charlotte Brontë,bronte_the_professor,short
"“Well, well--ere long I shall pay you another visit; good evening now,” and I left her rather abruptly; I had much ado to resist a strong inward impulse, urging me to take a warmer, more expressive leave: what so natural as to fold her for a moment in a close embrace, to imprint one kiss on her cheek or forehead? I was not unreasonable--that was all I wanted; satisfied in that point, I could go away content; and Reason denied me even this; she ordered me to turn my eyes from her face, and my steps from her apartment--to quit",Charlotte Brontë,bronte_the_professor,short
"Mdlle. Reuter possessed marvellous tact; but tact the most exclusive, unsupported by sincerity, will sometimes fail of its effect; thus, on this occasion, the longer she preached about the necessity of being indulgent to the governess pupil, the more impatient I felt as I listened. I discerned so clearly that while her professed motive was a wish to aid the dull, though well-meaning Mdlle. Henri, her real one was no other than a design to impress me with an idea of her own exalted goodness and tender considerateness; so having again hastily nodded assent to her remarks, I obviated their",Charlotte Brontë,bronte_the_professor,short
"“An irreparable breach thus being effected between my uncles and myself, I wrote to Edward; told him what had occurred, and informed him of my intention to follow his steps and be a tradesman. I asked, moreover, if he could give me employment. His answer expressed no approbation of my conduct, but he said I might come down to ----shire, if I liked, and he would ‘see what could be done in the way of furnishing me with work.’ I repressed all--even mental comment on his note--packed my trunk and carpet-bag, and started for the North directly.",Charlotte Brontë,bronte_the_professor,short
"I need not continue the quotation; the whole devoir was in the same strain. There were errors of orthography, there were foreign idioms, there were some faults of construction, there were verbs irregular transformed into verbs regular; it was mostly made up, as the above example shows, of short and somewhat rude sentences, and the style stood in great need of polish and sustained dignity; yet such as it was, I had hitherto seen nothing like it in the course of my professorial experience. The girl’s mind had conceived a picture of the hut, of the two peasants, of the",Charlotte Brontë,bronte_the_professor,short
"“It is well,” he said, after a pause, “that you are acquainted with something useful, something that may enable you to earn your board and lodging: since you know French and German, I will take you as second clerk to manage the foreign correspondence of the house. I shall give you a good salary--90l. a year--and now,” he continued, raising his voice, “hear once for all what I have to say about our relationship, and all that sort of humbug! I must have no nonsense on that point; it would never suit me. I shall excuse you nothing on the",Charlotte Brontë,bronte_the_professor,short
"Without reply, Mdlle. Henri turned away; dissatisfaction was plainly evinced in her face, and a smile, slight and brief, but bitter, distrustful, and, I thought, scornful, curled her lip as she took her place in the class; it was a secret, involuntary smile, which lasted but a second; an air of depression succeeded, chased away presently by one of attention and interest, when I gave the word for all the pupils to take their reading-books. In general I hated the reading-lesson, it was such a torture to the ear to listen to their uncouth mouthing of my native tongue, and",Charlotte Brontë,bronte_the_professor,short
"“You want to hear news from X----? And what interest can you have in X----? You left no friends there, for you made none. Nobody ever asks after you--neither man nor woman; and if I mention your name in company, the men look as if I had spoken of Prester John; and the women sneer covertly. Our X---- belles must have disliked you. How did you excite their displeasure?”",Charlotte Brontë,bronte_the_professor,short
"IT was two o’clock when I returned to my lodgings; my dinner, just brought in from a neighbouring hotel, smoked on the table; I sat down thinking to eat--had the plate been heaped with potsherds and broken glass, instead of boiled beef and haricots, I could not have made a more signal failure: appetite had forsaken me. Impatient of seeing food which I could not taste, I put it all aside into a cupboard, and then demanded, “What shall I do till evening?” for before six P.M. it would be vain to seek the Rue Notre Dame aux Neiges; its",Charlotte Brontë,bronte_the_professor,short
"“Francois,” said she, “you are jealous,” and still she laughed; then, as if suddenly recollecting that this coquetry was not consistent with the character for modest dignity she wished to establish, she proceeded, in a demure voice: “Truly, my dear Francois, I will not deny that this young Englishman may have made some attempts to ingratiate himself with me; but, so far from giving him any encouragement, I have always treated him with as much reserve as it was possible to combine with civility; affianced as I am to you, I would give no man false hopes; believe me, dear",Charlotte Brontë,bronte_the_professor,short
"“You may run away from my words, sir, and you may go spinnin’ underhand ways o’ doing us a mischief, for you’ve got Old Harry to your friend, though nobody else is, but I tell you for once as we’re not dumb creatures to be abused and made money on by them as ha’ got the lash i’ their hands, for want o’ knowing how t’ undo the tackle. An’ if I’m th’ only one as speaks my mind, there’s plenty o’ the same way o’ thinking i’ this parish and the next to ’t, for your name’s no better",George Eliot,eliot_adam_bede,short
"“There was a lot of timber-choppings put together just where the ground went hollow, like, under the bush, and the hand came out from among them. But there was a hole left in one place and I could see down it and see the child’s head; and I made haste and did away the turf and the choppings, and took out the child. It had got comfortable clothes on, but its body was cold, and I thought it must be dead. I made haste back with it out of the wood, and took it home to my wife. She said",George Eliot,eliot_adam_bede,short
"But now Dinah began to tell of the joys that were in store for the penitent, and to describe in her simple way the divine peace and love with which the soul of the believer is filled—how the sense of God’s love turns poverty into riches and satisfies the soul so that no uneasy desire vexes it, no fear alarms it: how, at last, the very temptation to sin is extinguished, and heaven is begun upon earth, because no cloud passes between the soul and God, who is its eternal sun.",George Eliot,eliot_adam_bede,short
"“Ah, now this I like,” said Mr. Donnithorne, looking round at the damp temple of cleanliness, but keeping near the door. “I’m sure I should like my breakfast better if I knew the butter and cream came from this dairy. Thank you, that really is a pleasant sight. Unfortunately, my slight tendency to rheumatism makes me afraid of damp: I’ll sit down in your comfortable kitchen. Ah, Poyser, how do you do? In the midst of business, I see, as usual. I’ve been looking at your wife’s beautiful dairy—the best manager in the parish, is she not?”",George Eliot,eliot_adam_bede,short
"And soon after four o’clock, splendid old Mrs. Irwine, in her damask satin and jewels and black lace, was led out by Arthur, followed by the whole family party, to her raised seat under the striped marquee, where she was to give out the prizes to the victors. Staid, formal Miss Lydia had requested to resign that queenly office to the royal old lady, and Arthur was pleased with this opportunity of gratifying his godmother’s taste for stateliness. Old Mr. Donnithorne, the delicately clean, finely scented, withered old man, led out Miss Irwine, with his air of punctilious, acid politeness;",George Eliot,eliot_adam_bede,short
"“It has been a very precious time to me,” Dinah went on, “last night and to-day—seeing two such good sons as Adam and Seth Bede. They are so tender and thoughtful for their aged mother. And she has been telling me what Adam has done, for these many years, to help his father and his brother; it’s wonderful what a spirit of wisdom and knowledge he has, and how he’s ready to use it all in behalf of them that are feeble. And I’m sure he has a loving spirit too. I’ve noticed it often among my own people round",George Eliot,eliot_adam_bede,short
"Mr. Irwine, who was involuntarily uttering his own thoughts rather than addressing Bartle Massey in the last sentence, had in his mind the possibility that the spirit of vengeance towards Arthur, which was the form Adam’s anguish was continually taking, might make him seek an encounter that was likely to end more fatally than the one in the Grove. This possibility heightened the anxiety with which he looked forward to Arthur’s arrival. But Bartle thought Mr. Irwine was referring to suicide, and his face wore a new alarm.",George Eliot,eliot_adam_bede,short
"It was more than two o’clock in the afternoon when Adam came in sight of the grey town on the hill-side and looked searchingly towards the green valley below, for the first glimpse of the old thatched roof near the ugly red mill. The scene looked less harsh in the soft October sunshine than it had in the eager time of early spring, and the one grand charm it possessed in common with all wide-stretching woodless regions—that it filled you with a new consciousness of the overarching sky—had a milder, more soothing influence than usual, on this almost cloudless day.",George Eliot,eliot_adam_bede,short
"“Poor child! Poor child! He is beseeching you, and you don’t listen to him. You think of ear-rings and fine gowns and caps, and you never think of the Saviour who died to save your precious soul. Your cheeks will be shrivelled one day, your hair will be grey, your poor body will be thin and tottering! Then you will begin to feel that your soul is not saved; then you will have to stand before God dressed in your sins, in your evil tempers and vain thoughts. And Jesus, who stands ready to help you now, won’t help you",George Eliot,eliot_adam_bede,short
"Martin was silent for a minute or two, looking on the ground and rooting up the grass with his spud, without knowing what he was doing. His usual slowness was always trebled when the subject of speech was painful. At last he looked up, right in Adam’s face, saying, “Then she didna deserve t’ ha’ ye, my lad. An’ I feel i’ fault myself, for she was my niece, and I was allays hot for her marr’ing ye. There’s no amends I can make ye, lad—the more’s the pity: it’s a sad cut-up for ye, I doubt.”",George Eliot,eliot_adam_bede,short
"“And reason good as I should manage you, father,” said Priscilla, “else you’d be giving yourself your death with rheumatism. And as for the farm, if anything turns out wrong, as it can’t but do in these times, there’s nothing kills a man so soon as having nobody to find fault with but himself. It’s a deal the best way o’ being master, to let somebody else do the ordering, and keep the blaming in your own hands. It ’ud save many a man a stroke, _I_ believe.”",George Eliot,eliot_silas_marner,short
"But when Godfrey was lifting his eyes from one of those long glances, they encountered an object as startling to him at that moment as if it had been an apparition from the dead. It _was_ an apparition from that hidden life which lies, like a dark by-street, behind the goodly ornamented facade that meets the sunlight and the gaze of respectable admirers. It was his own child, carried in Silas Marner’s arms. That was his instantaneous impression, unaccompanied by doubt, though he had not seen the child for months past; and when the hope was rising that he might",George Eliot,eliot_silas_marner,short
"It was a bright autumn Sunday, sixteen years after Silas Marner had found his new treasure on the hearth. The bells of the old Raveloe church were ringing the cheerful peal which told that the morning service was ended; and out of the arched doorway in the tower came slowly, retarded by friendly greetings and questions, the richer parishioners who had chosen this bright Sunday morning as eligible for church-going. It was the rural fashion of that time for the more important members of the congregation to depart first, while their humbler neighbours waited and looked on, stroking their bent",George Eliot,eliot_silas_marner,short
"Any one who had looked at him as the red light shone upon his pale face, strange straining eyes, and meagre form, would perhaps have understood the mixture of contemptuous pity, dread, and suspicion with which he was regarded by his neighbours in Raveloe. Yet few men could be more harmless than poor Marner. In his truthful simple soul, not even the growing greed and worship of gold could beget any vice directly injurious to others. The light of his faith quite put out, and his affections made desolate, he had clung with all the force of his nature to",George Eliot,eliot_silas_marner,short
"“Never mind,” said Dunsey, nodding his head sideways as he looked out of the window. “It ’ud be very pleasant to me to go in your company—you’re such a handsome brother, and we’ve always been so fond of quarrelling with one another, I shouldn’t know what to do without you. But you’d like better for us both to stay at home together; I know you would. So you’ll manage to get that little sum o’ money, and I’ll bid you good-bye, though I’m sorry to part.”",George Eliot,eliot_silas_marner,short
"But at last Mrs. Osgood’s table-linen was finished, and Silas was paid in gold. His earnings in his native town, where he worked for a wholesale dealer, had been after a lower rate; he had been paid weekly, and of his weekly earnings a large proportion had gone to objects of piety and charity. Now, for the first time in his life, he had five bright guineas put into his hand; no man expected a share of them, and he loved no man that he should offer him a share. But what were the guineas to him who saw no",George Eliot,eliot_silas_marner,short
"“If it won’t do any good to make the thing known,” said Nancy, who thought she might now allow herself the relief of entertaining a feeling which she had tried to silence before, “I should be very thankful for father and Priscilla never to be troubled with knowing what was done in the past, more than about Dunsey: it can’t be helped, their knowing that.”",George Eliot,eliot_silas_marner,short
"“Why, this is what I want—and just shake yourself sober and listen, will you?” said Godfrey, savagely. He had himself been drinking more than was good for him, trying to turn his gloom into uncalculating anger. “I want to tell you, I must hand over that rent of Fowler’s to the Squire, or else tell him I gave it you; for he’s threatening to distrain for it, and it’ll all be out soon, whether I tell him or not. He said, just now, before he went out, he should send word to Cox to distrain, if Fowler didn’t come and",George Eliot,eliot_silas_marner,short
"minister delivered unquestioned doctrine, and swayed to and fro, and handled the book in a long accustomed manner; the very pauses between the couplets of the hymn, as it was given out, and the recurrent swell of voices in song: these things had been the channel of divine influences to Marner—they were the fostering home of his religious emotions—they were Christianity and God’s kingdom upon earth. A weaver who finds hard words in his hymn-book knows nothing of abstractions; as the little child knows nothing of parental love, but only knows one face and one lap towards which it stretches",George Eliot,eliot_silas_marner,short
"“Well, mayhap that’ll do, as it’s a little gell, for they’re easier persuaded to sit i’ one place nor the lads. I know what the lads are; for I’ve had four—four I’ve had, God knows—and if you was to take and tie ’em up, they’d make a fighting and a crying as if you was ringing the pigs. But I’ll bring you my little chair, and some bits o’ red rag and things for her to play wi’; an’ she’ll sit and chatter to ’em as if they was alive. Eh, if it wasn’t a sin to the lads to",George Eliot,eliot_silas_marner,short
"What he saw was exactly the right thing—a boat advancing round the bend and containing a man who held the paddles and a lady, at the stern, with a pink parasol. It was suddenly as if these figures, or something like them, had been wanted in the picture, had been wanted more or less all day, and had now drifted into sight, with the slow current, on purpose to fill up the measure. They came slowly, floating down, evidently directed to the landing-place near their spectator and presenting themselves to him not less clearly as the two persons for whom",Henry James,james_the_ambassadors,short
"As the door of Mrs. Pocock’s salon was pushed open for him, the next day, well before noon, he was reached by a voice with a charming sound that made him just falter before crossing the threshold. Madame de Vionnet was already on the field, and this gave the drama a quicker pace than he felt it as yet—though his suspense had increased—in the power of any act of his own to do. He had spent the previous evening with all his old friends together yet he would still have described himself as quite in the dark in respect to",Henry James,james_the_ambassadors,short
"There was none other, however, than the common and constant pressure, familiar to our friend under the rubric of _Postes et Télégraphes_—the something in the air of these establishments; the vibration of the vast strange life of the town, the influence of the types, the performers concocting their messages; the little prompt Paris women, arranging, pretexting goodness knew what, driving the dreadful needle-pointed public pen at the dreadful sand-strewn public table: implements that symbolised for Strether’s too interpretative innocence something more acute in manners, more sinister in morals, more fierce in the national life. After he had put in his",Henry James,james_the_ambassadors,short
"of his face. “Yes, you’re feeling my hand”—he as good as proclaimed it; “but only because this at least I _shall_ have got out of the damned Old World: that I shall have picked up the pieces into which it has caused you to crumble.” It was as if in short, after an instant, Strether had not only had it from him, but had recognised that so far as this went the instant had cleared the air. Our friend understood and approved; he had the sense that they wouldn’t otherwise speak of it. This would be all, and it would",Henry James,james_the_ambassadors,short
"Strether continued to consider. “I’m bound to say for you all that you strike me as having arrived in a very mild and reasonable frame of mind. You don’t show your claws. I felt just now in Mrs. Pocock no symptom of that. She isn’t fierce,” he went on. “I’m such a nervous idiot that I thought she might be.”",Henry James,james_the_ambassadors,short
"“Ah but we all do that—we all love Strether: it isn’t a merit!” their fellow visitor laughed, keeping to her idea with a good conscience at which our friend was aware that he marvelled, though he trusted also for it, as he met her exquisitely expressive eyes, to some later light.",Henry James,james_the_ambassadors,short
"“That will make it all the pleasanter if it so happens that we _do_ meet,” Madame de Vionnet had further observed in reference to Mrs. Pocock’s mention of her initiated state; and she had immediately added that, after all, her hostess couldn’t be in need with the good offices of Mr. Strether so close at hand. “It’s he, I gather, who has learnt to know his Paris, and to love it, better than any one ever before in so short a time; so that between him and your brother, when it comes to the point, how can you possibly want",Henry James,james_the_ambassadors,short
"When he went back to Maria Gostrey it was for the change to something else. And yet after all the change scarcely operated for he talked to her of Mrs. Newsome in these days as he had never talked before. He had hitherto observed in that particular a discretion and a law; considerations that at present broke down quite as if relations had altered. They hadn’t _really_ altered, he said to himself, so much as that came to; for if what had occurred was of course that Mrs. Newsome had ceased to trust him, there was nothing on the other",Henry James,james_the_ambassadors,short
"Yes, she had taken him up as short and as sharply as that, but he tried not to flounder in her grasp. “I don’t think there’s anything I’ve done in any such calculated way as you describe. Everything has come as a sort of indistinguishable part of everything else. Your coming out belonged closely to my having come before you, and my having come was a result of our general state of mind. Our general state of mind had proceeded, on its side, from our queer ignorance, our queer misconceptions and confusions—from which, since then, an inexorable tide of light",Henry James,james_the_ambassadors,short
"“Are you capable of the very great kindness of going to relieve Newsome, for a few minutes, of the rather crushing responsibility of Madame Gloriani, while I say a word, if he’ll allow me, to Mr. Strether, of whom I’ve a question to ask? Our host ought to talk a bit to those other ladies, and I’ll come back in a minute to your rescue.” She made this proposal to Miss Barrace as if her consciousness of a special duty had just flickered-up, but that lady’s recognition of Strether’s little start at it—as at a betrayal on the speaker’s part",Henry James,james_the_ambassadors,short
"""Perhaps. Yet if you haven't,"" she added, ""I should suppose you'd remember. Not indeed that _I_ in the least connect with my impression the invidious name you use. If I had only thought you foolish,"" she explained, ""the thing I speak of wouldn't so have remained with me. It was about yourself."" She waited as if it might come to him; but as, only meeting her eyes in wonder, he gave no sign, she burnt her ships. ""Has it ever happened?""",Henry James,james_the_beast_in_the_jungle,short
"He continued to attach his eyes to her, and with the sense that it was all beyond him, and that _she_ was too, he would still have sharply challenged her hadn't he so felt it an abuse of her weakness to do more than take devoutly what she gave him, take it hushed as to a revelation. If he did speak, it was out of the foreknowledge of his loneliness to come. ""If you're glad of what it's 'not' it might then have been worse?""",Henry James,james_the_beast_in_the_jungle,short
"By the time they at last thus came to speech they were alone in one of the rooms--remarkable for a fine portrait over the chimney-place--out of which their friends had passed, and the charm of it was that even before they had spoken they had practically arranged with each other to stay behind for talk. The charm, happily, was in other things too--partly in there being scarce a spot at Weatherend without something to stay behind for. It was in the way the autumn day looked into the high windows as it waned; the way the red light, breaking at",Henry James,james_the_beast_in_the_jungle,short
"""Ah your not being aware of it""--and she seemed to hesitate an instant to deal with this--""your not being aware of it is the strangeness in the strangeness. It's the wonder _of_ the wonder."" She spoke as with the softness almost of a sick child, yet now at last, at the end of all, with the perfect straightness of a sibyl. She visibly knew that she knew, and the effect on him was of something co-ordinate, in its high character, with the law that had ruled him. It was the true voice of the law; so on her lips would",Henry James,james_the_beast_in_the_jungle,short
"She looked at him a minute, and there came to him as he met it, an inconsequent sense that her eyes, when one got their full clearness, were still as beautiful as they had been in youth, only beautiful with a strange cold light--a light that somehow was a part of the effect, if it wasn't rather a part of the cause, of the pale hard sweetness of the season and the hour. ""And yet,"" she said at last, ""there are horrors we've mentioned.""",Henry James,james_the_beast_in_the_jungle,short
"Well, she listened, motionless and white in her chair, as on a decision to be made, so that her manner was fairly an avowal, though still, with a small fine inner stiffness, an imperfect surrender. ""It _would_ be the worst,"" she finally let herself say. ""I mean the thing I've never said.""",Henry James,james_the_beast_in_the_jungle,short
"She spoke with an earnestness that, as if almost excessive, put him at ease about her possible derision. Somehow the whole question was a new luxury to him--that is from the moment she was in possession. If she didn't take the sarcastic view she clearly took the sympathetic, and that was what he had had, in all the long time, from no one whomsoever. What he felt was that he couldn't at present have begun to tell her, and yet could profit perhaps exquisitely by the accident of having done so of old. ""Please don't then. We're just right as",Henry James,james_the_beast_in_the_jungle,short
"""What I see, as I make it out, is that you've achieved something almost unprecedented in the way of getting used to danger. Living with it so long and so closely you've lost your sense of it; you know it's there, but you're indifferent, and you cease even, as of old, to have to whistle in the dark. Considering what the danger is,"" May Bartram wound up, ""I'm bound to say I don't think your attitude could well be surpassed.""",Henry James,james_the_beast_in_the_jungle,short
"perforce his extinction; figuring to himself, with some colour, in the likeness of certain little old men he remembered to have seen, of whom, all meagre and wizened as they might look, it was related that they had in their time fought twenty duels or been loved by ten princesses. They indeed had been wondrous for others while he was but wondrous for himself; which, however, was exactly the cause of his haste to renew the wonder by getting back, as he might put it, into his own presence. That had quickened his steps and checked his delay. If his",Henry James,james_the_beast_in_the_jungle,short
"She seemed to mean something so special that he again sharply wondered, though still with the dawn of a prospect of relief. ""Why not, if one doesn't _know_?"" After which, as their eyes, over his question, met in a silence, the dawn deepened, and something to his purpose came prodigiously out of her very face. His own, as he took it in, suddenly flushed to the forehead, and he gasped with the force of a perception to which, on the instant, everything fitted. The sound of his gasp filled the air; then he became articulate. ""I see--if I don't suffer!""",Henry James,james_the_beast_in_the_jungle,short
"Ethan knew the word for one of exceptional import. Almost everybody in the neighbourhood had “troubles,” frankly localized and specified; but only the chosen had “complications.” To have them was in itself a distinction, though it was also, in most cases, a death-warrant. People struggled on for years with “troubles,” but they almost always succumbed to “complications.”",Edith Wharton,wharton_ethan_frome,short
"All the way down to the village he continued to think of his return to Mattie. The kitchen was a poor place, not “spruce” and shining as his mother had kept it in his boyhood; but it was surprising what a homelike look the mere fact of Zeena’s absence gave it. And he pictured what it would be like that evening, when he and Mattie were there after supper. For the first time they would be alone together indoors, and they would sit there, one on each side of the stove, like a married couple, he in his stocking feet",Edith Wharton,wharton_ethan_frome,short
"Denis’s commercial instinct compelled him to aver on oath that what Eady’s store could not produce would never be found at the widow Homan’s; but Ethan, heedless of this boast, had already climbed to the sledge and was driving on to the rival establishment. Here, after considerable search, and sympathetic questions as to what he wanted it for, and whether ordinary flour paste wouldn’t do as well if she couldn’t find it, the widow Homan finally hunted down her solitary bottle of glue to its hiding-place in a medley of cough-lozenges and corset-laces.",Edith Wharton,wharton_ethan_frome,short
"“Good God!” I exclaimed. At the moment Ethan Frome, after climbing to his seat, had leaned over to assure himself of the security of a wooden box—also with a druggist’s label on it—which he had placed in the back of the buggy, and I saw his face as it probably looked when he thought himself alone. “_That_ man touch a hundred? He looks as if he was dead and in hell now!”",Edith Wharton,wharton_ethan_frome,short
"He fell asleep, and when he woke the chill of the winter dawn was in the room. He felt cold and stiff and hungry, and ashamed of being hungry. He rubbed his eyes and went to the window. A red sun stood over the grey rim of the fields, behind trees that looked black and brittle. He said to himself: “This is Matt’s last day,” and tried to think what the place would be without her.",Edith Wharton,wharton_ethan_frome,short
"By this time they had passed beyond Frome’s earshot and he could only follow the shadowy pantomime of their silhouettes as they continued to move along the crest of the slope above him. He saw Eady, after a moment, jump from the cutter and go toward the girl with the reins over one arm. The other he tried to slip through hers; but she eluded him nimbly, and Frome’s heart, which had swung out over a black void, trembled back to safety. A moment later he heard the jingle of departing sleigh bells and discerned a figure advancing alone toward",Edith Wharton,wharton_ethan_frome,short
"Seen thus, from the pure and frosty darkness in which he stood, it seemed to be seething in a mist of heat. The metal reflectors of the gas-jets sent crude waves of light against the whitewashed walls, and the iron flanks of the stove at the end of the hall looked as though they were heaving with volcanic fires. The floor was thronged with girls and young men. Down the side wall facing the window stood a row of kitchen chairs from which the older women had just risen. By this time the music had stopped, and the musicians—a fiddler,",Edith Wharton,wharton_ethan_frome,short
"“We’re kinder side-tracked here now,” he added, “but there was considerable passing before the railroad was carried through to the Flats.” He roused the lagging bay with another twitch; then, as if the mere sight of the house had let me too deeply into his confidence for any farther pretence of reserve, he went on slowly: “I’ve always set down the worst of mother’s trouble to that. When she got the rheumatism so bad she couldn’t move around she used to sit up there and watch the road by the hour; and one year, when they was six months mending",Edith Wharton,wharton_ethan_frome,short
"That thrust had frightened him more than any vague insinuations about Denis Eady. It was a fact that since Mattie Silver’s coming he had taken to shaving every day; but his wife always seemed to be asleep when he left her side in the winter darkness, and he had stupidly assumed that she would not notice any change in his appearance. Once or twice in the past he had been faintly disquieted by Zenobia’s way of letting things happen without seeming to remark them, and then, weeks afterward, in a casual phrase, revealing that she had all along taken her",Edith Wharton,wharton_ethan_frome,short
"He paused, his eyes wandering from her miserably. She stood silent a moment, drooping before him like a broken branch. She was so small and weak-looking that it wrung his heart; but suddenly she lifted her head and looked straight at him. “And she wants somebody handier in my place? Is that it?”",Edith Wharton,wharton_ethan_frome,short
"Her hands slipped down into his, and for a minute they held each other dumbly in the darkness; then he gave a vague laugh and said: “It’s really time to light up.” He pressed the electric button with one hand while with the other he opened the door; and she passed out without daring to turn back, lest the light on his face should show her what she feared to see.",Edith Wharton,wharton_the_reef,short
"That was his secret, then, THEIR secret: he had met the girl in Paris and helped her in her straits--lent her money, Anna vaguely conjectured--and she had fallen in love with him, and on meeting him again had been suddenly overmastered by her passion. Anna, dropping back into her sofa-corner, sat staring these facts in the face.",Edith Wharton,wharton_the_reef,short
"In some undefinable way she had become aware, without turning her head, that he was steeped in the sense of her nearness, absorbed in contemplating the details of her face and dress; and the discovery made the words throng to her lips. She felt herself speak with ease, authority, conviction. She said to herself: “He doesn’t care what I say--it’s enough that I say it--even if it’s stupid he’ll like me better for it...” She knew that every inflexion of her voice, every gesture, every characteristic of her person--its very defects, the fact that her forehead was too high, that",Edith Wharton,wharton_the_reef,short
"Snatches of his companion’s talk drifted to him intermittently through the confusion of his thoughts. He caught eager self-revealing phrases, and understood that Owen was saying things about himself, perhaps hinting indirectly at the hopes for which Darrow had been prepared by Anna’s confidences. He had already become aware that the lad liked him, and had meant to take the first opportunity of showing that he reciprocated the feeling. But the effort of fixing his attention on Owen’s words was so great that it left no power for more than the briefest and most inexpressive replies.",Edith Wharton,wharton_the_reef,short
"“Now...? I don’t say now. But later? Time modifies ... rubs out ... more quickly than you think...Go away, but let him hope...I’m going too--WE’RE going--” he stumbled on the plural--“in a very few weeks: going for a long time, probably. What you’re thinking of now may never happen. We may not all be here together again for years.”",Edith Wharton,wharton_the_reef,short
"Such, at any rate, was the conclusion he had reached when, shortly after the two ladies left the drawing-room, he bade Owen good-night and went up to his room. Ever since the rapid self-colloquy which had followed on his first sight of Sophy Viner, he had known there were other questions to be faced behind the one immediately confronting him. On the score of that one, at least, his mind, if not easy, was relieved. He had done what was possible to reassure the girl, and she had apparently recognized the sincerity of his intention. He had patched up as",Edith Wharton,wharton_the_reef,short
"“You can go straight back to Givre--now, at once! So that Owen shall never know you’ve followed him.” Sophy’s clasped hands reached out urgently. “And you can send for Mr. Darrow--bring him back. Owen must be convinced that he’s mistaken, and nothing else will convince him. Afterward I’ll find a pretext--oh, I promise you! But first he must see for himself that nothing’s changed for you.”",Edith Wharton,wharton_the_reef,short
